"SIRUTA","Denumire","Tip","Judet"
"1017","ALBA IULIA","municipiu","ALBA"
"1213","AIUD","municipiu","ALBA"
"1348","BLAJ","municipiu","ALBA"
"1874","SEBES","municipiu","ALBA"
"1151","ABRUD","oras","ALBA"
"2915","BAIA DE ARIES","oras","ALBA"
"1455","CAMPENI","oras","ALBA"
"1696","CUGIR","oras","ALBA"
"1794","OCNA MURES","oras","ALBA"
"8096","TEIUS","oras","ALBA"
"1936","ZLATNA","oras","ALBA"
"2130","ALBAC","comuna","ALBA"
"2309","ALMASU MARE","comuna","ALBA"
"2381","ARIESENI","comuna","ALBA"
"2577","AVRAM IANCU","comuna","ALBA"
"2988","BERGHIN","comuna","ALBA"
"3039","BISTRA","comuna","ALBA"
"3397","BLANDIANA","comuna","ALBA"
"9026","BUCERDEA GRANOASA","comuna","ALBA"
"3459","BUCIUM","comuna","ALBA"
"3761","CENADE","comuna","ALBA"
"3805","CERGAU","comuna","ALBA"
"3841","CERU-BACAINTI","comuna","ALBA"
"3958","CETATEA DE BALTA","comuna","ALBA"
"1071","CIUGUD","comuna","ALBA"
"4008","CIURULEASA","comuna","ALBA"
"4106","CALNIC","comuna","ALBA"
"4142","CRICAU","comuna","ALBA"
"4188","CRACIUNELU DE JOS","comuna","ALBA"
"9019","CUT","comuna","ALBA"
"4240","DAIA ROMANA","comuna","ALBA"
"4268","DOSTAT","comuna","ALBA"
"4302","FARAU","comuna","ALBA"
"4366","GALDA DE JOS","comuna","ALBA"
"4482","GARBOVA","comuna","ALBA"
"4525","GARDA DE SUS","comuna","ALBA"
"4703","HOPARTA","comuna","ALBA"
"4767","HOREA","comuna","ALBA"
"4927","IGHIU","comuna","ALBA"
"4981","INTREGALDE","comuna","ALBA"
"5103","JIDVEI","comuna","ALBA"
"5167","LIVEZILE","comuna","ALBA"
"5210","LOPADEA NOUA","comuna","ALBA"
"5309","LUNCA MURESULUI","comuna","ALBA"
"5336","LUPSA","comuna","ALBA"
"5577","METES","comuna","ALBA"
"5700","MIHALT","comuna","ALBA"
"5755","MIRASLAU","comuna","ALBA"
"5826","MOGOS","comuna","ALBA"
"6048","NOSLAC","comuna","ALBA"
"6119","OCOLIS","comuna","ALBA"
"6164","OHABA","comuna","ALBA"
"6217","PIANU","comuna","ALBA"
"6271","POIANA VADULUI","comuna","ALBA"
"6397","PONOR","comuna","ALBA"
"6468","POSAGA","comuna","ALBA"
"6547","RADESTI","comuna","ALBA"
"6592","RAMETEA","comuna","ALBA"
"6627","RAMET","comuna","ALBA"
"6761","ROSIA MONTANA","comuna","ALBA"
"6930","ROSIA DE SECAS","comuna","ALBA"
"6976","SALCIUA","comuna","ALBA"
"7044","SALISTEA","comuna","ALBA"
"7099","SASCIORI","comuna","ALBA"
"7197","SCARISOARA","comuna","ALBA"
"7348","SANCEL","comuna","ALBA"
"7384","SANTIMBRU","comuna","ALBA"
"7446","SOHODOL","comuna","ALBA"
"7767","STREMT","comuna","ALBA"
"7810","SIBOT","comuna","ALBA"
"7865","SONA","comuna","ALBA"
"7945","SPRING","comuna","ALBA"
"8014","SUGAG","comuna","ALBA"
"8158","UNIREA","comuna","ALBA"
"8229","VADU MOTILOR","comuna","ALBA"
"8354","VALEA LUNGA","comuna","ALBA"
"8425","VIDRA","comuna","ALBA"
"8826","VINTU DE JOS","comuna","ALBA"
"9262","ARAD","municipiu","ARAD"
"9459","CHISINEU-CRIS","oras","ARAD"
"9495","CURTICI","oras","ARAD"
"9538","INEU","oras","ARAD"
"9574","LIPOVA","oras","ARAD"
"9627","NADLAC","oras","ARAD"
"9654","PANCOTA","oras","ARAD"
