"siiir","denumire","categorie","siruta","localitate","judet"
"0161102892","LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD","Liceu","1160","ABRUD","AB"
"0161103328","COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD","Colegiu","1222","AIUD","AB"
"0161102856","COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD","Colegiu","1222","AIUD","AB"
"0161103337","LICEUL TEHNOLOGIC AIUD","Liceu","1222","AIUD","AB"
"0161102318","CENTRUL SCOLAR DE EDUCATIE INCLUZIVA ALBA IULIA","Centru de Educație Incluzivă","1026","ALBA IULIA","AB"
"0161103278","COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA","Colegiu","1026","ALBA IULIA","AB"
"0161102589","COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA","Colegiu","1026","ALBA IULIA","AB"
"0161102241","COLEGIUL NATIONAL MILITAR ""MIHAI VITEAZUL"" ALBA IULIA","Colegiu","1026","ALBA IULIA","AB"
"0161102372","COLEGIUL TEHNIC ""APULUM"" ALBA IULIA","Colegiu","1026","ALBA IULIA","AB"
"0161102933","LICEUL CU PROGRAM SPORTIV ALBA IULIA","Liceu","1026","ALBA IULIA","AB"
"0161102716","LICEUL DE ARTE ""REGINA MARIA"" ALBA IULIA","Liceu","1026","ALBA IULIA","AB"
"0161100022","LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA","Liceu tehnologic / Școală profesională","1026","ALBA IULIA","AB"
"0161103495","LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA","Liceu","1026","ALBA IULIA","AB"
"0161102476","LICEUL TEOLOGIC ROMANO-CATOLIC ""GROF MAJLATH GUSZTAV KAROLY"" ALBA IULIA","Liceu","1026","ALBA IULIA","AB"
"0161102847","SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA","Liceu","1026","ALBA IULIA","AB"
"0161103206","LICEUL TEHNOLOGIC ""TARA MOTILOR"" ALBAC","Liceu tehnologic / Școală profesională","2149","ALBAC","AB"
"0161103215","LICEUL TEHNOLOGIC DE TURISM SI ALIMENTATIE ARIESENI","Liceu","2390","ARIEŞENI","AB"
"0161100085","LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES","Liceu tehnologic / Școală profesională","2924","BAIA DE ARIEŞ","AB"
"0161102327","COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ","Colegiu","1357","BLAJ","AB"
"0161102761","LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ","Liceu tehnologic / Școală profesională","1357","BLAJ","AB"
"0161102458","LICEUL TEHNOLOGIC ""TIMOTEI CIPARIU"" BLAJ","Liceu","1357","BLAJ","AB"
"0161102309","LICEUL TEOLOGIC GRECO-CATOLIC ""SFANTUL VASILE CEL MARE"" BLAJ","Liceu","1357","BLAJ","AB"
"0161100094","COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI","Colegiu","1464","CÂMPENI","AB"
"0161103016","LICEUL TEHNOLOGIC SILVIC CIMPENI","Liceu tehnologic / Școală profesională","1464","CÂMPENI","AB"
"0161103364","LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD","Liceu","1277","CIUMBRUD","AB"
"0161103355","COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR","Colegiu","1703","CUGIR","AB"
"0161102951","LICEUL TEORETIC ""DAVID PRODAN"" CUGIR","Liceu","1703","CUGIR","AB"
"0161102232","LICEUL TEHNOLOGIC JIDVEI","Liceu","5112","JIDVEI","AB"
"0161100049","LICEUL TEHNOLOGIC OCNA MURES","Liceu tehnologic / Școală profesională","1801","OCNA MUREŞ","AB"
"0161102811","LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES","Liceu","1801","OCNA MUREŞ","AB"
"0161103251","COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES","Colegiu","1883","SEBEŞ","AB"
"0161103174","LICEUL CU PROGRAM SPORTIV "" FLORIN FLESERIU"" SEBES","Liceu","1883","SEBEŞ","AB"
"0161103165","LICEUL TEHNOLOGIC SEBES","Liceu tehnologic / Școală profesională","1883","SEBEŞ","AB"
"0161102544","LICEUL TEORETIC TEIUS","Liceu","8103","TEIUŞ","AB"
