"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"0161102892","LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD","Liceu",1160,"ABRUD","AB"
"0161103328","COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD","Colegiu",1222,"AIUD","AB"
"0161102856","COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD","Colegiu",1222,"AIUD","AB"
"0161103337","LICEUL TEHNOLOGIC AIUD","Liceu",1222,"AIUD","AB"
"0161103278","COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA","Colegiu",1026,"ALBA IULIA","AB"
"0161102372","COLEGIUL TEHNIC ""APULUM"" ALBA IULIA","Colegiu",1026,"ALBA IULIA","AB"
"0161100022","LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA","Liceu tehnologic / Școală profesională",1026,"ALBA IULIA","AB"
"0161103495","LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161103373","SCOALA POSTLICEALA SANITARA ALBA IULIA","Școală postliceală",1026,"ALBA IULIA","AB"
"0161103206","LICEUL TEHNOLOGIC ""TARA MOTILOR"" ALBAC","Liceu tehnologic / Școală profesională",2149,"ALBAC","AB"
"0161103215","LICEUL TEHNOLOGIC DE TURISM SI ALIMENTATIE ARIESENI","Liceu",2390,"ARIEŞENI","AB"
"0161100085","LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES","Liceu tehnologic / Școală profesională",2924,"BAIA DE ARIEŞ","AB"
"0161102761","LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ","Liceu tehnologic / Școală profesională",1357,"BLAJ","AB"
"0161102458","LICEUL TEHNOLOGIC ""TIMOTEI CIPARIU"" BLAJ","Liceu",1357,"BLAJ","AB"
"0161100094","COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI","Colegiu",1464,"CÂMPENI","AB"
"0161103016","LICEUL TEHNOLOGIC SILVIC CIMPENI","Liceu tehnologic / Școală profesională",1464,"CÂMPENI","AB"
"0161103364","LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD","Liceu",1277,"CIUMBRUD","AB"
"0161103355","COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR","Colegiu",1703,"CUGIR","AB"
"0161102951","LICEUL TEORETIC ""DAVID PRODAN"" CUGIR","Liceu",1703,"CUGIR","AB"
"0161102232","LICEUL TEHNOLOGIC JIDVEI","Liceu",5112,"JIDVEI","AB"
"0161100049","LICEUL TEHNOLOGIC OCNA MURES","Liceu tehnologic / Școală profesională",1801,"OCNA MUREŞ","AB"
"0161103165","LICEUL TEHNOLOGIC SEBES","Liceu tehnologic / Școală profesională",1883,"SEBEŞ","AB"
"0161102797","LICEUL ""CORNELIU MEDREA"" ZLATNA","Liceu",1945,"ZLATNA","AB"
"0361100245","COLEGIUL TEHNIC CÂMPULUNG","Colegiu",13506,"CÂMPULUNG","AG"
"0361104647","LICEUL TEHNOLOGIC AUTO CÂMPULUNG","Liceu",13506,"CÂMPULUNG","AG"
"0361103637","LICEUL TEHNOLOGIC COSTEȘTI","Școală profesională / Învățământ dual",13677,"COSTEŞTI","AG"
"0361103809","LICEUL TEORETIC COSTEȘTI","Liceu",13677,"COSTEŞTI","AG"
"0361104014","LICEUL TEHNOLOGIC AUTO CURTEA DE ARGEȘ","Școală postliceală",13631,"CURTEA DE ARGEŞ","AG"
"0361103506","LICEUL TEHNOLOGIC ""CONSTANTIN DOBRESCU"" CURTEA DE ARGEȘ","Liceu tehnologic / Școală profesională",13631,"CURTEA DE ARGEŞ","AG"
"0361104787","LICEUL TEHNOLOGIC ""FERDINAND I"" CURTEA DE ARGEȘ","Liceu tehnologic / Școală profesională",13631,"CURTEA DE ARGEŞ","AG"
"0361103325","LICEUL TEHNOLOGIC REGELE MIHAI I CURTEA DE ARGEȘ","Școală postliceală",13631,"CURTEA DE ARGEŞ","AG"
"0361103976","LICEUL TEHNOLOGIC ""PETRE IONESCU MUSCEL"" DOMNEȘTI","Liceu",16463,"DOMNEŞTI","AG"
"0361103872","LICEUL TEHNOLOGIC NR. 1 MĂRĂCINENI","Liceu tehnologic / Școală profesională",13374,"MĂRĂCINENI","AG"
