"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"0161102892","LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD","Liceu",1160,"ABRUD","AB"
"0161100031","SCOALA GIMNAZIALA ""AVRAM IANCU"" ABRUD","Școală gimnazială",1160,"ABRUD","AB"
"0161103328","COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD","Colegiu",1222,"AIUD","AB"
"0161102856","COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD","Colegiu",1222,"AIUD","AB"
"0161102268","SCOALA GIMNAZIALA ""AXENTE SEVER"" AIUD","Școală gimnazială",1222,"AIUD","AB"
"0161100126","SCOALA GIMNAZIALA ""OVIDIU HULEA"" AIUD","Școală gimnazială",1222,"AIUD","AB"
"0161102318","CENTRUL SCOLAR DE EDUCATIE INCLUZIVA ALBA IULIA","Centru de Educație Incluzivă",1026,"ALBA IULIA","AB"
"0161102372","COLEGIUL TEHNIC ""APULUM"" ALBA IULIA","Colegiu",1026,"ALBA IULIA","AB"
"0161102933","LICEUL CU PROGRAM SPORTIV ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161102716","LICEUL DE ARTE ""REGINA MARIA"" ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161100022","LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA","Liceu tehnologic / Școală profesională",1026,"ALBA IULIA","AB"
"0161103495","LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161102476","LICEUL TEOLOGIC ROMANO-CATOLIC ""GROF MAJLATH GUSZTAV KAROLY"" ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161103405","SCOALA GIMNAZIALA ""AVRAM IANCU"" ALBA IULIA","Școală gimnazială",1026,"ALBA IULIA","AB"
"0161102675","SCOALA GIMNAZIALA ""ION AGARBICEANU"" ALBA IULIA","Școală gimnazială",1026,"ALBA IULIA","AB"
"0161102422","SCOALA GIMNAZIALA ""MIHAI EMINESCU"" ALBA IULIA","Școală gimnazială",1026,"ALBA IULIA","AB"
"0161103477","SCOALA GIMNAZIALA ""VASILE GOLDIS"" ALBA IULIA","Școală gimnazială",1026,"ALBA IULIA","AB"
"0161102847","SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA","Liceu",1026,"ALBA IULIA","AB"
"0161103206","LICEUL TEHNOLOGIC ""TARA MOTILOR"" ALBAC","Liceu tehnologic / Școală profesională",2149,"ALBAC","AB"
"0161102829","SCOALA GIMNAZIALA ALMASU MARE","Școală gimnazială",2318,"ALMAŞU MARE","AB"
"0161103215","LICEUL TEHNOLOGIC DE TURISM SI ALIMENTATIE ARIESENI","Liceu",2390,"ARIEŞENI","AB"
"0161102603","SCOALA GIMNAZIALA ""AVRAM IANCU"" AVRAM IANCU","Școală gimnazială",2586,"AVRAM IANCU","AB"
"0161100085","LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES","Liceu tehnologic / Școală profesională",2924,"BAIA DE ARIEŞ","AB"
"0161102752","SCOALA GIMNAZIALA BERGHIN","Școală gimnazială",2997,"BERGHIN","AB"
"0161103111","SCOALA GIMNAZIALA ""NICODIM GANEA"" BISTRA","Școală gimnazială",3048,"BISTRA","AB"
"0161102327","COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ","Colegiu",1357,"BLAJ","AB"
"0161102458","LICEUL TEHNOLOGIC ""TIMOTEI CIPARIU"" BLAJ","Liceu",1357,"BLAJ","AB"
"0161102309","LICEUL TEOLOGIC GRECO-CATOLIC ""SFANTUL VASILE CEL MARE"" BLAJ","Liceu",1357,"BLAJ","AB"
"0161102535","SCOALA GIMNAZIALA ""TOMA COCISIU"" BLAJ","Școală gimnazială",1357,"BLAJ","AB"
"0161102788","SCOALA GIMNAZIALA BLANDIANA","Școală gimnazială",3404,"BLANDIANA","AB"
"0161102906","SCOALA GIMNAZIALA ""IOAN MAIORESCU"" BUCERDEA GRANOASA","Școală gimnazială",4204,"BUCERDEA GRÂNOASĂ","AB"
"0161102354","SCOALA GIMNAZIALA ""ION AGARBICEANU"" BUCIUM","Școală gimnazială",3468,"BUCIUM","AB"
"0161103025","SCOALA GIMNAZIALA CALNIC","Școală gimnazială",4115,"CÂLNIC","AB"
"0161102639","SCOALA GIMNAZIALA CIMPENI","Școală gimnazială",1464,"CÂMPENI","AB"
"0161102942","SCOALA GIMNAZIALA ""ION AGARBICEANU"" CENADE","Școală gimnazială",3770,"CENADE","AB"
"0161102467","SCOALA GIMNAZIALA ""ARON COTRUS"" CERGAU MARE","Școală gimnazială",3814,"CERGĂU MARE","AB"
"0161103459","SCOALA GIMNAZIALA ""STEFAN CEL MARE"" CETATEA DE BALTA","Școală gimnazială",3967,"CETATEA DE BALTĂ","AB"
"0161103052","SCOALA GIMNAZIALA CIUGUD","Școală gimnazială",1080,"CIUGUD","AB"
"0161103364","LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD","Liceu",1277,"CIUMBRUD","AB"
"0161102404","SCOALA GIMNAZIALA CIURULEASA","Școală gimnazială",4017,"CIURULEASA","AB"
"0161103414","SCOALA GIMNAZIALA CRACIUNELU DE JOS","Școală gimnazială",4197,"CRĂCIUNELU DE JOS","AB"
"0161102915","SCOALA GIMNAZIALA ""DECEBAL"" CRICAU","Școală gimnazială",4151,"CRICĂU","AB"
"0161103287","SCOALA GIMNAZIALA "" IOSIF PERVAIN"" CUGIR","Școală gimnazială",1703,"CUGIR","AB"
"0161102363","SCOALA GIMNAZIALA NR.3 CUGIR","Școală gimnazială",1703,"CUGIR","AB"
"0161104519","SCOALA GIMNAZIALA ""SINGIDAVA"" CUGIR","Școală gimnazială",1703,"CUGIR","AB"
"0161100117","SCOALA GIMNAZIALA ""SEPTIMIU ALBINI"" CUT","Școală gimnazială",4124,"CUT","AB"
"0161103129","SCOALA GIMNAZIALA DAIA ROMANA","Școală gimnazială",4259,"DAIA ROMÂNĂ","AB"
